Belarusian,be,Выберыце мову:,Выбіраць,Інструмент параўнання артыкулаў у Вікіпедыі,Параўноўваць,Выберыце інструмент параўнання:,Выберыце працэнт падабенства:,Перакладаць,Ясны,Колькасць слоў:,Працэнт падабенства:,Памылка: няма тэксту ў крыніцы!,"Для перакладу, тэкст неабходны ў крыніцы, каб тэкст у мэтавым полі можна было перавесці, каб адпавядаць.",Памылка: Занадта шмат сімвалаў,"Даўжыня тэксту, які вы спрабуеце перавесці, перавышае ліміт знакаў 4500.",Крыніца,Мішэнь
Bengali,bn,ভাষা নির্বাচন কর:,নির্বাচন করুন,উইকিপিডিয়া নিবন্ধ তুলনা সরঞ্জাম,তুলনা করা,তুলনা সরঞ্জাম নির্বাচন করুন:,সাদৃশ্য শতাংশ নির্বাচন করুন:,অনুবাদ করা,পরিষ্কার,শব্দ গণনা:,সাদৃশ্য শতাংশ:,ত্রুটি: উত্স বাক্সে কোনও পাঠ্য নেই!,"অনুবাদ করার জন্য, উত্স বাক্সে পাঠ্য প্রয়োজন যাতে লক্ষ্য বাক্সের পাঠ্যটি মেলে অনুবাদ করা যায়।",ত্রুটি: অনেকগুলি অক্ষর,আপনি যে পাঠ্যটি অনুবাদ করার চেষ্টা করছেন তার দৈর্ঘ্য 4500 এর চরিত্রের সীমা ছাড়িয়ে গেছে।,উৎস,লক্ষ্য
Bhojpuri,bho,भाषा के चयन करीं:,चुनीं,विकिपीडिया लेख के तुलना उपकरण,तुलना,तुलना करे वाला उपकरण के चयन करीं:,समानता के प्रतिशत चुनीं:,अनुवाद,साफ,शब्द के गिनती: 1।,समानता के प्रतिशत: 1.1.,त्रुटि: स्रोत बॉक्स में कवनो पाठ नइखे!,"अनुवाद करे खातिर, स्रोत बॉक्स में पाठ के जरूरत बा ताकि लक्ष्य बॉक्स में मौजूद पाठ के मिलान में अनुवाद कइल जा सके।",त्रुटि: बहुत ढेर अक्षर,जवना पाठ के रउरा अनुवाद करे के कोशिश करत बानी ओकर लंबाई 4500 के वर्ण सीमा से अधिका बा.,स्रोत,लक्ष्य
Bosnian,bs,Odaberite Jezik:,Odabrati,Alat za upoređivanje članaka Wikipedia,Uporediti,Odaberite sredstvo za usporedbu:,Odaberite postotak sličnosti:,Prevesti,Jasan,Broj riječi:,Procenat sličnosti:,GREŠKA: Nema teksta u izvornom okviru!,"Da biste prevodili, tekst je potreban u izvornom okviru tako da se tekst u ciljnom okviru može prevesti na podudaranje.",GREŠKA: Previše znakova,Dužina teksta na koju pokušavate prevesti prelazi granicu znakova od 4500.,Izvor,Ciljati
Bulgarian,bg,Избери език:,Изберете,Инструмент за сравнение на статии в Уикипедия,Сравнете,Изберете инструмент за сравнение:,Изберете Процент на сходство:,Превод,Ясно,Брой думи:,Процент на сходство:,Грешка: Няма текст в полето Източник!,"За да се преведе, текстът е необходим в полето Източник, така че текстът в целевото поле да може да бъде преведен в съвпадение.",Грешка: Твърде много знаци,"Дължината на текста, която се опитвате да преведете, надвишава границата на символите от 4500.",Източник,Мишена
Catalan,ca,Escolliu l'idioma:,Seleccionar,Eina de comparació de l'article de Viquipèdia,Comparar,Seleccioneu l'eina de comparació:,Seleccioneu percentatge de similitud:,Traduir,Clar,Nombre de paraules:,Percentatge de similitud:,Error: no hi ha text al quadre d'origen.,"Per traduir, es necessita text al quadre d'origen de manera que es pugui traduir el text del quadre de destinació.",Error: massa caràcters,La longitud del text que intenteu traduir supera el límit de caràcters de 4500.,Font,Objectiu
Cebuano,ceb,Pilia ang Pinulongan:,Mopili,Wikipedia Artics Comparison Tool,Itandi,Pilia ang pagtandi sa himan:,Pilia ang Porsyento sa Pagkamaayo:,Hubaron,Tataw,Pag-ihap sa pulong:,Porsyento sa Pagkamauyonan:,Sayup: Wala'y teksto sa Ginikanan nga kahon!,"Aron mahubad, gikinahanglan ang teksto sa gigikanan nga kahon aron ang teksto sa target nga kahon mahimong mahubad aron magkatugma.",Sayup: Daghang mga karakter,Ang gitas-on sa teksto nga imong gisulayan sa paghubad molabaw sa limitasyon sa karakter nga 4500.,Tinubdan,Target
Chichewa,ny,Sankhani Chiyankhulo:,Sankha,Chida chofanizira cha wikipedia,Fanizila,Sankhani Chida choyerekeza:,Sankhani magawo awiri:,Masulira,Koyera,Kuwerengera Mawu:,Kuphatikizidwanso:,Vuto: Palibe lembani mawu m'bokosi!,"Pofuna kumasulira, lembalo limafunikira m'bokosi logwedeza kuti malembawo m'bokosi landamale akhoza kumasuliridwa kuti agwirizane.",Vuto: Olemba ambiri,Kutalika kwa mawu omwe mukufuna kutanthauzira kumapitilira malire a 4500.,Chiyambi,Chage
Chinese (Simplified),zh-CN,选择语言：,选择,Wikipedia文章比较工具,比较,选择比较工具：,选择相似性百分比：,翻译,清除,字数：,相似性百分比：,错误：源框中没有文本！,为了翻译，需要在源框中进行文本，以便可以将目标框中的文本翻译成匹配。,错误：字符太多,您试图翻译的文本长度超过了4500的字符限制。,来源,目标
Chinese (Traditional),zh-TW,選擇語言：,選擇,Wikipedia文章比較工具,比較,選擇比較工具：,選擇相似性百分比：,翻譯,清除,字數：,相似性百分比：,錯誤：源框中沒有文本！,為了翻譯，需要在源框中進行文本，以便可以將目標框中的文本翻譯成匹配。,錯誤：字符太多,您試圖翻譯的文本長度超過了4500的字符限制。,來源,目標
Corsican,co,Selezziunate lingua:,Selezziunate,Articulu di paragone Wikipedia,Paragunate,Select Comparar Tool:,Selezziunà u percentuale di a similarità:,Traduci,CLEAR,Conte di parolla:,Percentualità di Similenity:,Errore: Nisun testu in casella di fonte!,"Per traduce, u testu hè necessariu in a casella fonte in modu chì u testu in a casella di destinazione pò esse tradutta à currisponde.",Errore: Troppu parechji caratteri,A lunghezza di u testu chì prova di traduce supera u limitu di u caratteru di 4500.,Fonte,Destinazione
Croatian,hr,Izaberi jezik:,Izaberi,Wikipedia Alat za usporedbu članka,Usporediti,Odaberite Alat za usporedbu:,Odaberite postotak sličnosti:,Prevedi,Čisto,Brojanje riječi:,Postotak sličnosti:,Pogreška: Nema teksta u izvornom okviru!,"Da bi se prevelo, potreban je tekst u izvornom okviru tako da se tekst u ciljanom okviru može prevesti u podudaranje.",Pogreška: Previše znakova,Duljina teksta koji pokušavate prevesti premašuje granicu karaktera od 4500.,Izvor,Cilj
Czech,cs,Zvolte jazyk:,Vybrat,Nástroj pro srovnání článků Wikipedia,Porovnat,Vyberte Porovnání nástroje:,Vyberte procento podobnosti:,přeložit,Průhledná,Počet slov:,Procento podobnosti:,Chyba: Žádný text ve zdrojovém poli!,"Aby bylo možné přeložit, je ve zdrojovém poli potřebný text, aby byl text v cílovém poli přeložen tak, aby odpovídal.",Chyba: Příliš mnoho znaků,"Délka textu, který se snažíte přeložit, přesahuje limit znaku 4500.",Zdroj,cílová
Danish,da,Vælg sprog:,Vælg,Wikipedia Artikel sammenligningsværktøj,Sammenligne,Vælg sammenligningsværktøj:,Vælg lighedsprocent:,Oversætte,Klar,Ordtælling:,Lighedsprocent:,Fejl: Ingen tekst i kildeboks!,"For at oversætte er der behov for tekst i kildeboksen, så teksten i målboksen kan oversættes til at matche.",Fejl: For mange tegn,"Længden af tekst, du prøver at oversætte, overstiger karaktergrænsen på 4500.",Kilde,Mål
Dhivehi,dv,ބަސް ހޮވާށެވެ:,ޚިޔާރުކުރުން,ވިކިޕީޑިއާ އާޓިކަލް ކޮމްޕެރިޝަން ޓޫލް,އަޅާކިޔުން,ކޮމްޕެރިޝަން ޓޫލް ހޮވާށެވެ:,ސިމިލާރިޓީ ޕަސެންޓޭޖް ހޮވާށެވެ:,ތަރުޖަމާކުރުން,ސާފުކޮށް,ލަފުޒުގެ އަދަދު:,އެއްގޮތްކަމުގެ އިންސައްތަ:,އެރަރ: ސޯސް ބޮކްސްގައި ޓެކްސްޓެއް ނެތް!,ތަރުޖަމާ ކުރުމަށްޓަކައި ސޯސް ބޮކްސްގައި ޓެކްސްޓް ބޭނުންވަނީ ޓާގެޓް ފޮށީގައި ހުންނަ ލިޔުން އެއްގޮތްވާ ގޮތަށް ތަރުޖަމާ ކުރެވޭނެ ގޮތަކަށެވެ.,އެރަރ: މާ ގިނަ ކެރެކްޓަރސް,ތަރުޖަމާ ކުރަން އުޅޭ ލިޔުމުގެ ދިގުމިން 4500 ގެ ކެރެކްޓަރ ލިމިޓަށްވުރެ ބޮޑުވެއެވެ.,އަސްލު,އަމާޒު
Dogri,doi,भाषा चुनो:,चुनो,विकिपीडिया लेख तुलना उपकरण,मकाबला करना,तुलनात्मक उपकरण चुनें:,समानता दा प्रतिशत चुनो:,अनुवाद करना,साफ,शब्द गिनती:,समानता प्रतिशत:,त्रुटि: स्रोत बॉक्स च कोई पाठ नेईं !,"अनुवाद करने आस्तै, स्रोत बॉक्स च पाठ दी लोड़ ऐ तां जे लक्ष्य बॉक्स च पाठ गी मिलान करने आस्तै अनुवाद कीता जाई सकै.",त्रुटि: बहुत सारे वर्ण,पाठ दी लंबाई जिसदा तुस अनुवाद करने दी कोशश करा दे ओ 4500 दी वर्ण सीमा कोला बी मती ऐ।,जरिया,नशाना
Dutch,nl,Selecteer taal:,Uitkiezen,Wikipedia Artikel Vergelijkingstool,Vergelijken,Selecteer Vergelijkingstool:,Selecteer overeenkomstpercentage:,Vertalen,Duidelijk,Aantal woorden:,Gelijkenispercentage:,Fout: geen tekst in het bronbox!,"Om te vertalen, is tekst nodig in het brongox zodat de tekst in het doelvak kan worden vertaald om te matchen.",Fout: te veel tekens,De lengte van de tekst die u probeert te vertalen overschrijdt de tekenlimiet van 4500.,Bron,Doel
English,en,Select Language:,Select,Wikipedia Article Comparison Tool,Compare,Select comparison tool:,Select similarity percentage:,Translate,Clear,Word Count:,Similarity Percentage:,ERROR: NO TEXT IN SOURCE BOX!,"In order to translate, text is needed in the Source box so that the text in the Target box can be translated to match.",ERROR: Too many characters,The length of text you are trying to translate exceeds the character limit of 4500.,Source,Target
Esperanto,eo,Elektu Lingvon:,Elektu,Vikipedio Artikola Kompara Ilo,Komparu,Elektu Kompara Ilo:,Elektu Similecan Procenton:,Traduki,Klara,Sumo da vortoj:,Simila Procento:,Eraro: Neniu teksto en fontkesto!,"Por traduki, teksto necesas en la fontkesto por ke la teksto en la cela skatolo estu tradukita por kongrui.",Eraro: Tro multaj signoj,"La longeco de teksto, kiun vi provas traduki, superas la karakteron limo de 4500.",Fonto,Celo
Estonian,et,Vali keel:,Valima,Vikipeedia artikli võrdlusvahend,Võrdlema,Valige võrdlusriist:,Valige sarnasuse protsent:,Tõlkima,Selge,Sõnade arv:,Sarnasuse protsent:,Viga: lähtekastis pole teksti!,"Tõlkimiseks on lähtekastis vaja teksti, nii et sihtkasti teksti saab tõlkida vastavalt sobivaks.",Viga: liiga palju märke,"Teksti pikkus, mida proovite tõlkida, ületab tähemärgi piiri 4500.",Allikas,Sihtmärk
Ewe,ee,Tia Gbegbɔgblɔ:,Tia,Wikipedia nyatiwo tsɔtsɔ sɔ kple wo nɔewo ƒe dɔwɔnu .,Tsɔe sɔ,Tia Dɔwɔnu si Wotsɔ Sɔ Kple Wo Nɔewo:,Tia nusiwo ɖi wo nɔewo ƒe alafa memamã:,Ɖe gbe gɔme,Me kᴐ,Nyawo ƒe xexlẽme:,Nusiwo ɖi wo nɔewo ƒe alafa memamã:,Vodada: Nuŋɔŋlɔ aɖeke mele dzɔtsoƒe ƒe aɖaka me o!,"Be woateŋu aɖe egɔme la, nuŋɔŋlɔ hiã le dzɔtsoƒe ƒe aɖaka me ale be woate ŋu aɖe nuŋɔŋlɔ si le taɖodzinu ƒe aɖaka me be wòasɔ.",Vodada: ŋɔŋlɔdzesi geɖe akpa .,Nuŋɔŋlɔ ƒe didime si nèle agbagba dzem be yeaɖe gɔme la wu ŋɔŋlɔdzesi ƒe seɖoƒe si nye 4500.,Dzᴐtsoƒe,Taɖodzinu
Filipino,tl,Piliin ang Wika:,Piliin,Tool ng paghahambing sa artikulo ng Wikipedia,Ihambing,Piliin ang Tool ng Paghahambing:,Piliin ang pagkakapareho porsyento:,Isalin,Malinaw,Bilang ng salita:,Pagkakapareho porsyento:,Error: Walang teksto sa kahon ng mapagkukunan!,"Upang maisalin, kinakailangan ang teksto sa kahon ng mapagkukunan upang ang teksto sa target na kahon ay maaaring isalin upang tumugma.",Error: masyadong maraming mga character,Ang haba ng teksto na sinusubukan mong isalin ay lumampas sa limitasyon ng character na 4500.,Pinagmulan,Target
Finnish,fi,Valitse kieli:,Valita,Wikipedia -artikkelin vertailutyökalu,Vertailla,Valitse vertailutyökalu:,Valitse samankaltaisuusprosentti:,Kääntää,Asia selvä,Sanamäärä:,Samankaltaisuusprosentti:,Virhe: Ei tekstiä lähdekotelossa!,"Kääntämiseksi tekstiä tarvitaan lähdealaatikkoon, jotta kohderuutuun teksti voidaan kääntää vastaamaan.",Virhe: Liian monta merkkiä,"Tekstin pituus, jonka yrität kääntää, ylittää merkkirajan 4500.",Lähde,Kohde
French,fr,Choisir la langue:,Sélectionner,Outil de comparaison de l'article Wikipedia,Comparer,Sélectionnez l'outil de comparaison:,Sélectionnez le pourcentage de similitude:,Traduire,Claire(feminine),Nombre de mots:,Pourcentage de similitude:,Erreur: pas de texte dans la boîte source!,"Pour traduire, le texte est nécessaire dans la zone source afin que le texte de la zone cible puisse être traduit pour correspondre.",Erreur: trop de caractères,La longueur du texte que vous essayez de traduire dépasse la limite de caractères de 4500.,Source,Cible
Frisian,fy,Selektearje taal:,Útkieze,Wikipedia-artikel fergeliking Tool,Fergelykje,Selektearje fergeliking ark:,SELECT SPENTALING PERCENTAGE:,Oersette,Opklearje,Wurdtelling:,Fergang persintaazje:,ERROR: Gjin tekst yn boarnekast!,"Om te oersetten om tekst te oersetten is nedich yn it boarne-doaze, sadat de tekst yn 'e doelfak yn' e doel is oerset om te oerienkomme.",Flater: te folle karakters,De lingte fan tekst dy't jo besykje om te oersetten grutter dan de karaktergrins fan 4500.,Boarne,Doel
Galician,gl,Selecciona Idioma:,Selecciona,Ferramenta de comparación de artigos de Wikipedia,Comparar,Seleccione Ferramenta de comparación:,Selecciona porcentaxe de semellanza:,Traducir,Claro,Conta de palabras:,Porcentaxe de semellanza:,Erro: sen texto na caixa de orixe!,"Para traducir, é necesario un texto na caixa de orixe para que o texto da caixa de destino se poida traducir a coincidir.",Erro: demasiados personaxes,A lonxitude do texto que está intentando traducir supera o límite de caracteres de 4500.,Fonte,Obxectivo
Georgian,ka,Აირჩიეთ ენა:,გადარჩევა,ვიკიპედიის სტატიის შედარების ინსტრუმენტი,შედარება,აირჩიეთ შედარების ინსტრუმენტი:,აირჩიეთ მსგავსების პროცენტი:,თარგმნა,გასუფთავება,სიტყვების დათვლა:,მსგავსების პროცენტი:,შეცდომა: ტექსტი არ არის წყაროს ყუთში!,"თარგმნის მიზნით, ტექსტი საჭიროა წყაროს ყუთში ისე, რომ სამიზნე ყუთში ტექსტის თარგმნა მოხდეს.",შეცდომა: ძალიან ბევრი სიმბოლო,"ტექსტის სიგრძე, რომლის თარგმნასაც ცდილობთ, აღემატება პერსონაჟის ზღვარს 4500.",წყარო,სამიზნე
German,de,Sprache auswählen:,Wählen,Wikipedia -Artikelvergleichsinstrument,Vergleichen,Wählen Sie Vergleichswerkzeug:,Wählen Sie Ähnlichkeitsprozentsatz:,Übersetzen,Klar,Wortzahl:,Ähnlichkeitsprozentsatz:,Fehler: Kein Text im Quellfeld!,"Um zu übersetzen, wird im Quellfeld Text benötigt, damit der Text im Zielfeld in die übereinstimmende Übersetzung übersetzt werden kann.",Fehler: Zu viele Zeichen,"Die Länge des Textes, die Sie übersetzen möchten, überschreitet die Zeichengrenze von 4500.",Quelle,Ziel
Greek,el,Επιλέξτε γλώσσα:,Επιλέγω,Εργαλείο σύγκρισης άρθρων Wikipedia,Συγκρίνω,Επιλέξτε εργαλείο σύγκρισης:,Επιλέξτε Ποσοστό ομοιότητας:,Μεταφράζω,Σαφή,Καταμέτρηση λέξεων:,Ποσοστό ομοιότητας:,Σφάλμα: Δεν υπάρχει κείμενο στο πλαίσιο πηγής!,"Προκειμένου να μεταφραστεί, απαιτείται κείμενο στο πλαίσιο πηγής έτσι ώστε το κείμενο στο πλαίσιο προορισμού να μπορεί να μεταφραστεί ώστε να ταιριάζει.",Σφάλμα: Πάρα πολλοί χαρακτήρες,Το μήκος του κειμένου που προσπαθείτε να μεταφράσετε υπερβαίνει το όριο χαρακτήρων 4500.,Πηγή,Στόχος
Guarani,gn,Eiporavo ñe’ẽ: .,Poravo,Wikipedia artículo Ñembojojaha Tembipururã .,Mbojoja,Eiporavo Tembipururã Ñembojojaha: .,Eiporavo porcentaje de similaridad:,Ñe'ẽmbohasa,Hesakã,Ñe’ẽ jepapa: .,Porcentaje de similaridad rehegua: .,Error: ¡No hay texto en cuadro de fuente!,"Ikatu hag̃uáicha oñembohasa, oñeikotevẽ jehaipyre pe kuatiarogue ryru’ípe ikatu hag̃uáicha oñembohasa pe jehaipyre oĩva pe cuadro de destino-pe ojoaju hag̃ua.",Jejavy: Hetaiterei tai .,Pe jehaipyre pukukue reñeha’ãva rembohasa ohasa pe límite de carácter 4500-pe.,Heñoipy,Morotĩ
Gujarati,gu,ભાષા પસંદ કરો:,પસંદ કરો,વિકિપીડિયા લેખ તુલના સાધન,તુલના,સરખામણી સાધન પસંદ કરો:,સમાનતા ટકાવારી પસંદ કરો:,ભાષાંતર કરવું,ચોખ્ખુ,શબ્દગણના:,સમાનતા ટકાવારી:,ભૂલ: સ્રોત બ in ક્સમાં કોઈ ટેક્સ્ટ નથી!,"અનુવાદ કરવા માટે, સ્રોત બ box ક્સમાં ટેક્સ્ટની જરૂર છે જેથી લક્ષ્ય બ in ક્સમાંનો ટેક્સ્ટ મેચ કરવા માટે અનુવાદિત થઈ શકે.",ભૂલ: ઘણા બધા અક્ષરો,તમે ભાષાંતર કરવાનો પ્રયાસ કરી રહ્યાં છો તે ટેક્સ્ટની લંબાઈ 4500 ની પાત્ર મર્યાદાથી વધી જાય છે.,મૂળ કારણ,નિશાન
Haitian Creole,ht,Chwazi lang:,Chwazi,Wikipedia Atik Konparezon Zouti,Konpare,Chwazi zouti konparezon:,Chwazi pousantaj resanblans:,Tradui,Klè,Konte mo:,Pousantaj resanblans:,Erè: Pa gen tèks nan bwat sous!,"Yo nan lòd yo tradui, se tèks ki nesesè nan bwat la sous pou ke tèks la nan bwat la sib ka tradui matche ak.",Erè: twòp karaktè,Longè a nan tèks ou yo ap eseye tradui depase limit la karaktè nan 4500.,Sous,Sib
Hausa,ha,Zabi Harshe:,Zaɓa,Aikin kwatanta kayan aikin Wikipedia,Gwada,Select da Kwatanta Kayan aiki:,Zabi Kayayyaki Mai kama:,Fassara,Share,Lissafin kalma:,Kimanin kashi ɗaya:,Kuskure: Babu rubutu a cikin akwatin tushe!,"Don fassara, ana buƙatar rubutu a cikin akwatin tushen don rubutun da aka yi a cikin akwatin manufa za a iya fassara shi don dacewa.",Kuskure: haruffa da yawa,Tsawon rubutu da kake ƙoƙarin fassara ya wuce iyakar harafin 4500.,Mafari,Manufa
Hawaiian,haw,Koho i ka'ōlelo:,Koho,Palapala Hoʻohālikelike Wikipedia,Hoʻohālikelike,E koho i nā mea hoʻohālikelike:,E koho i nāʻano likeʻole:,Unuhi MOOLE,Maopopo,Heluhelu hua'ōlelo:,Kaʻina like:,ERROR:ʻAʻohe hua'ōlelo ma ka pahu kumu!,"I mea e unuhi ai, ponoʻia nā kikokikona i loko o ka pahu kumu i hiki ai ke unuhi i ka pahu ma ka pahu pahuhopu.",Hapa: He nui nā huapalapala,ʻO ka lōʻihi o nā kikokikona āu e ho'āʻo nei e unuhi i nā mea iʻoi aku ma mua o keʻano o keʻano o 4500.,Kumu,Kaukai
Hebrew,iw,בחר שפה:,בחר,כלי השוואת מאמרים בוויקיפדיה,לְהַשְׁווֹת,בחר בכלי השוואה:,בחר אחוז דמיון:,לתרגם,ברור,ספירת מילים:,אחוז דמיון:,שגיאה: אין טקסט בתיבת המקור!,"על מנת לתרגם, יש צורך בטקסט בתיבת המקור כך שניתן לתרגם את הטקסט בתיבת היעד כדי להתאים.",שגיאה: יותר מדי תווים,אורך הטקסט שאתה מנסה לתרגם עולה על גבול הדמות של 4500.,מָקוֹר,יַעַד
Hindi,hi,भाषा चुने:,चुनना,विकिपीडिया लेख तुलना उपकरण,तुलना करना,तुलनात्मक उपकरण का चयन करें:,समानता प्रतिशत का चयन करें:,अनुवाद,साफ़,शब्द गणना:,समानता प्रतिशत:,त्रुटि: स्रोत बॉक्स में कोई पाठ नहीं!,"अनुवाद करने के लिए, स्रोत बॉक्स में पाठ की आवश्यकता होती है ताकि लक्ष्य बॉक्स में पाठ को मैच के लिए अनुवादित किया जा सके।",त्रुटि: बहुत सारे वर्ण,"आप जिस पाठ की लंबाई का अनुवाद करने की कोशिश कर रहे हैं, वह 4500 की चरित्र सीमा से अधिक है।",स्रोत,लक्ष्य
